"Datum";"+A/73068189 [kW]";"Status";
"05.01.2025 08:45:00";3,598;"namìøená data OK";
"05.01.2025 09:00:00";3,384;"namìøená data OK";
"05.01.2025 09:15:00";3,388;"namìøená data OK";
"05.01.2025 09:30:00";3,353;"namìøená data OK";
"05.01.2025 09:45:00";3,338;"namìøená data OK";
"05.01.2025 10:00:00";4,523;"namìøená data OK";
"05.01.2025 10:15:00";4,04;"namìøená data OK";
"05.01.2025 10:30:00";1,918;"namìøená data OK";
"05.01.2025 10:45:00";1,927;"namìøená data OK";
"05.01.2025 11:00:00";2,042;"namìøená data OK";
"05.01.2025 11:15:00";2,011;"namìøená data OK";
"05.01.2025 11:30:00";1,237;"namìøená data OK";
"05.01.2025 11:45:00";0,826;"namìøená data OK";
"05.01.2025 12:00:00";0,984;"namìøená data OK";
"05.01.2025 12:15:00";0,922;"namìøená data OK";
"05.01.2025 12:30:00";1,013;"namìøená data OK";
"05.01.2025 12:45:00";1,21;"namìøená data OK";
"05.01.2025 13:00:00";1,108;"namìøená data OK";
"05.01.2025 13:15:00";1,066;"namìøená data OK";
"05.01.2025 13:30:00";1,219;"namìøená data OK";
"05.01.2025 13:45:00";1,472;"namìøená data OK";
"05.01.2025 14:00:00";1,283;"namìøená data OK";
"05.01.2025 14:15:00";1,261;"namìøená data OK";
"05.01.2025 14:30:00";1,266;"namìøená data OK";
"05.01.2025 14:45:00";1,578;"namìøená data OK";
"05.01.2025 15:00:00";1,515;"namìøená data OK";
"05.01.2025 15:15:00";1,555;"namìøená data OK";
"05.01.2025 15:30:00";1,572;"namìøená data OK";
"05.01.2025 15:45:00";1,578;"namìøená data OK";
"05.01.2025 16:00:00";1,506;"namìøená data OK";
"05.01.2025 16:15:00";1,62;"namìøená data OK";
"05.01.2025 16:30:00";1,777;"namìøená data OK";
"05.01.2025 16:45:00";1,724;"namìøená data OK";
"05.01.2025 17:00:00";1,662;"namìøená data OK";
"05.01.2025 17:15:00";1,571;"namìøená data OK";
"05.01.2025 17:30:00";1,689;"namìøená data OK";
"05.01.2025 17:45:00";1,73;"namìøená data OK";
"05.01.2025 18:00:00";1,697;"namìøená data OK";
"05.01.2025 18:15:00";1,723;"namìøená data OK";
"05.01.2025 18:30:00";1,758;"namìøená data OK";
"05.01.2025 18:45:00";1,666;"namìøená data OK";
"05.01.2025 19:00:00";1,807;"namìøená data OK";
"05.01.2025 19:15:00";1,906;"namìøená data OK";
"05.01.2025 19:30:00";1,803;"namìøená data OK";
"05.01.2025 19:45:00";1,627;"namìøená data OK";
"05.01.2025 20:00:00";1,62;"namìøená data OK";
"05.01.2025 20:15:00";1,764;"namìøená data OK";
"05.01.2025 20:30:00";1,751;"namìøená data OK";
"05.01.2025 20:45:00";1,777;"namìøená data OK";
"05.01.2025 21:00:00";1,646;"namìøená data OK";
"05.01.2025 21:15:00";1,797;"namìøená data OK";
"05.01.2025 21:30:00";1,75;"namìøená data OK";
"05.01.2025 21:45:00";1,857;"namìøená data OK";
"05.01.2025 22:00:00";1,951;"namìøená data OK";
"05.01.2025 22:15:00";1,959;"namìøená data OK";
"05.01.2025 22:30:00";1,774;"namìøená data OK";
"05.01.2025 22:45:00";1,739;"namìøená data OK";
"05.01.2025 23:00:00";1,824;"namìøená data OK";
"05.01.2025 23:15:00";1,856;"namìøená data OK";
"05.01.2025 23:30:00";1,852;"namìøená data OK";
"05.01.2025 23:45:00";1,819;"namìøená data OK";
"05.01.2025 24:00:00";1,865;"namìøená data OK";
"06.01.2025 00:15:00";1,766;"namìøená data OK";
"06.01.2025 00:30:00";1,845;"namìøená data OK";
"06.01.2025 00:45:00";2,026;"namìøená data OK";
"06.01.2025 01:00:00";2,178;"namìøená data OK";
"06.01.2025 01:15:00";1,803;"namìøená data OK";
"06.01.2025 01:30:00";1,807;"namìøená data OK";
"06.01.2025 01:45:00";1,899;"namìøená data OK";
"06.01.2025 02:00:00";2,043;"namìøená data OK";
"06.01.2025 02:15:00";1,911;"namìøená data OK";
"06.01.2025 02:30:00";1,77;"namìøená data OK";
"06.01.2025 02:45:00";1,827;"namìøená data OK";
"06.01.2025 03:00:00";1,974;"namìøená data OK";
"06.01.2025 03:15:00";1,836;"namìøená data OK";
"06.01.2025 03:30:00";1,832;"namìøená data OK";
